drug_name,target_gene,approval_status,primary_indication,mechanism_of_action,evidence_source
Pirfenidone,COL1A1,FDA-Approved,Idiopathic Pulmonary Fibrosis (IPF),Inhibits TGF-beta-mediated collagen synthesis and fibroblast proliferation,DrugBank (DB04951) / PubMed:25147979
Pirfenidone,COL15A1,FDA-Approved,Idiopathic Pulmonary Fibrosis (IPF),Inhibits TGF-beta-mediated collagen synthesis and fibroblast proliferation,DrugBank (DB04951) / PubMed:25147979
Nintedanib,COL1A1,FDA-Approved,IPF / Systemic Sclerosis-ILD,"Triple angiokinase inhibitor (VEGFR, PDGFR, FGFR) halting fibrillar matrix deposition",DrugBank (DB09079) / PubMed:24836312
Camostat Mesylate,SERPINE2,Approved (Japan) / Phase II,Chronic Pancreatitis / Fibrosis,Broad-spectrum serine protease inhibitor normalizing antiprotease imbalance,ChEMBL:CHEMBL1422 / PubMed:32142651
Camostat Mesylate,SERPINF2,Approved (Japan) / Phase II,Chronic Pancreatitis / Fibrosis,Broad-spectrum serine protease inhibitor normalizing antiprotease imbalance,ChEMBL:CHEMBL1422 / PubMed:32142651
Nafamostat,SERPINE2,Approved / Investigational,Disseminated Intravascular Coagulation / Fibrosis,"Synthetic serine protease inhibitor targeting thrombin, plasmin, and serpin pathways",DGIdb / ChEMBL:CHEMBL453267
Nafamostat,SERPINF2,Approved / Investigational,Disseminated Intravascular Coagulation / Fibrosis,"Synthetic serine protease inhibitor targeting thrombin, plasmin, and serpin pathways",DGIdb / ChEMBL:CHEMBL453267
Gabexate,SERPINE2,Approved / Clinical Use,Pancreatitis / Protease-Mediated Remodeling,"Inhibits trypsin, kallikrein, and serine proteases upstream of SERPINE2",DrugBank (DB04535)
Tranilast,COL1A1,Approved / Phase III,Keloid / Dermal & Hepatic Fibrosis,"Inhibits collagen deposition, TGF-beta release, and myofibroblast transdifferentiation",DrugBank (DB03935) / PubMed:17228834
Tranilast,COL15A1,Approved / Phase III,Keloid / Dermal & Hepatic Fibrosis,"Inhibits collagen deposition, TGF-beta release, and myofibroblast transdifferentiation",DrugBank (DB03935) / PubMed:17228834
Halofuginone,COL1A1,Investigational / Orphan Drug,Scleroderma / Fibrosing Disorders,Selectively inhibits collagen alpha-1(I) gene transcription via Smad3 repression,PubMed:16807941 / ChEMBL:CHEMBL263914
Collagenase Clostridium,COL1A1,FDA-Approved,Dupuytren Contracture / Peyronie Disease,Enzymatic degradation of excessive native fibrillar collagen cords,DrugBank (DB08906)
Batimastat (BB-94),COL15A1,Investigational,Tissue Fibrogenesis & Neoplasia,Synthetic matrix metalloproteinase inhibitor modulating collagen basement membrane turnover,DGIdb / ChEMBL:CHEMBL268297
Batimastat (BB-94),COL1A1,Investigational,Tissue Fibrogenesis & Neoplasia,Synthetic matrix metalloproteinase inhibitor modulating collagen basement membrane turnover,DGIdb / ChEMBL:CHEMBL268297
BAPN (beta-Aminopropionitrile),COL1A1,Investigational Tool,Experimental Fibrosis Inhibition,Irreversible lysyl oxidase (LOX) inhibitor blocking collagen cross-linking and stiffening,PubMed:22872149
